uid	|	parent_uid	|	name	|	rank	|	sourceinfo	|	uniqname	|	flags	|	
3590194	|	3590174	|	Pseudocapillaria mergi	|	species	|	gbif:4554029	|		|		|	
3590193	|	3590174	|	Pseudocapillaria corvorum	|	species	|	gbif:4554024	|		|		|	
3590177	|	3590174	|	Pseudocapillaria tomentosa	|	species	|	gbif:4554021	|		|		|	
3590192	|	405870	|	Tricocephalus	|	genus	|	gbif:4629940	|		|	barren	|	
3590178	|	405870	|	Trichokephalus	|	genus	|	gbif:4629933	|		|	barren	|	
3590195	|	405870	|	Trichocefalus	|	genus	|	gbif:4629938	|		|	barren	|	
3590182	|	405870	|	Paracapillaria	|	genus	|	gbif:4346524	|		|		|	
3590185	|	3590182	|	Paracapillaria sonsinoi	|	species	|	gbif:4553952	|		|		|	
3590181	|	3590182	|	Paracapillaria gibsoni	|	species	|	gbif:4346525	|		|		|	
3590175	|	405870	|	Trichoncephalus	|	genus	|	gbif:4629937	|		|	barren	|	
3590189	|	405870	|	Trycocephalus	|	genus	|	gbif:4629934	|		|	barren	|	
3590208	|	1093869	|	Soboliphymidae	|	family	|	gbif:4281935	|		|	barren	|	
3590200	|	1093869	|	Robertdollfusidae	|	family	|	gbif:5982	|		|		|	
3590199	|	3590200	|	Haycocknema	|	genus	|	gbif:2283358	|		|		|	
3590204	|	3590199	|	Haycocknema perplexum	|	species	|	gbif:2283359	|		|		|	
3590203	|	3590200	|	Robertdollfusa	|	genus	|	gbif:4406288	|		|		|	
3590212	|	3590203	|	Robertdollfusa ophthalatina	|	species	|	gbif:4553941	|		|		|	
3590210	|	3590200	|	Encephalomema	|	genus	|	gbif:4572396	|		|	barren	|	
1004248	|	117565	|	Dioctophymatoidea	|	superfamily	|	ncbi:241475	|		|	sibling_higher	|	
1004242	|	1004248	|	Soboliphymatidae	|	family	|	ncbi:241476,gbif:4281845	|		|		|	
1004243	|	1004242	|	Soboliphyme	|	genus	|	ncbi:241477,gbif:4281846	|		|		|	
1008846	|	1004243	|	Soboliphyme jamesoni	|	species	|	ncbi:458257	|		|		|	
1008842	|	1004243	|	Soboliphyme abei	|	species	|	ncbi:458258	|		|		|	
1004229	|	1004243	|	Soboliphyme baturini	|	species	|	ncbi:241478	|		|		|	
3590213	|	1004243	|	Soboliphyme soricis	|	species	|	gbif:4554233	|		|		|	
3590215	|	1004243	|	Soboliphyme huridiniformis	|	species	|	gbif:4554232	|		|		|	
3590214	|	1004243	|	Soboliphyme occidentalis	|	species	|	gbif:4554234	|		|		|	
736073	|	1004248	|	Dioctophymatidae	|	family	|	ncbi:513040,gbif:4281853	|		|		|	
736027	|	736073	|	Eustrongylides	|	genus	|	ncbi:513041,gbif:4281854	|		|		|	
1045287	|	736027	|	Eustrongylides sp. 48 XF-2009	|	species	|	ncbi:756548	|	Eustrongylides sp. 48 XF-2009 (ncbi:756548)	|		|	
1045286	|	736027	|	Eustrongylides sp. 49 XF-2009	|	species	|	ncbi:756549	|	Eustrongylides sp. 49 XF-2009 (ncbi:756549)	|		|	
1045285	|	736027	|	Eustrongylides sp. 42 XF-2009	|	species	|	ncbi:756542	|	Eustrongylides sp. 42 XF-2009 (ncbi:756542)	|		|	
1045284	|	736027	|	Eustrongylides sp. 43 XF-2009	|	species	|	ncbi:756543	|	Eustrongylides sp. 43 XF-2009 (ncbi:756543)	|		|	
1045283	|	736027	|	Eustrongylides sp. 40 XF-2009	|	species	|	ncbi:756540	|	Eustrongylides sp. 40 XF-2009 (ncbi:756540)	|		|	
1045282	|	736027	|	Eustrongylides sp. 41 XF-2009	|	species	|	ncbi:756541	|	Eustrongylides sp. 41 XF-2009 (ncbi:756541)	|		|	
1045281	|	736027	|	Eustrongylides sp. 46 XF-2009	|	species	|	ncbi:756546	|	Eustrongylides sp. 46 XF-2009 (ncbi:756546)	|		|	
1045280	|	736027	|	Eustrongylides sp. 47 XF-2009	|	species	|	ncbi:756547	|	Eustrongylides sp. 47 XF-2009 (ncbi:756547)	|		|	
1045279	|	736027	|	Eustrongylides sp. 44 XF-2009	|	species	|	ncbi:756544	|	Eustrongylides sp. 44 XF-2009 (ncbi:756544)	|		|	
1045278	|	736027	|	Eustrongylides sp. 45 XF-2009	|	species	|	ncbi:756545	|	Eustrongylides sp. 45 XF-2009 (ncbi:756545)	|		|	
995174	|	736027	|	Eustrongylides sp. 59 XF-2009	|	species	|	ncbi:756560	|	Eustrongylides sp. 59 XF-2009 (ncbi:756560)	|		|	
995173	|	736027	|	Eustrongylides sp. 6 XF-2009	|	species	|	ncbi:756561	|	Eustrongylides sp. 6 XF-2009 (ncbi:756561)	|		|	
995172	|	736027	|	Eustrongylides sp. 60 XF-2009	|	species	|	ncbi:756562	|	Eustrongylides sp. 60 XF-2009 (ncbi:756562)	|		|	
995171	|	736027	|	Eustrongylides sp. 61 XF-2009	|	species	|	ncbi:756563	|	Eustrongylides sp. 61 XF-2009 (ncbi:756563)	|		|	
